|14|13|12|12|12|12|12|12|12|12|12|12|12|12|12|12|12|
|14|13|12|11|11|11|11|11|11|11|11|11|11|11|11|11|11|
|14|13|12|11|10|10|10|10|10|10|10|10|10|10|10|10|10|
|14|13|12|11|10|9|9|9|9|9|9|9|9|9|9|9|9|
|14|13|12|11|10|9|8|8|8|8|8|8|8|8|8|8|8|
|14|13|12|11|10|9|8|7|7|7|7|7|7|7|7|7|7|
|14|13|12|11|10|9|8|7|6|6|6|6|6|6|6|6|6|
|14|13|12|11|10|9|8|7|6|5|5|5|5|5|5|5|5|
|14|13|-1|11|10|9|8|7|6|5|4|4|4|4|4|4|4|
|14|13|12|11|10|9|8|7|6|5|4|3|3|3|3|3|3|
|14|13|12|11|10|9|8|7|6|5|4|3|2|2|2|2|2|
|14|13|12|11|10|9|8|7|6|5|4|3|2|1|1|1|2|
|14|13|12|11|10|9|8|7|6|5|4|3|2|1|-2|1|2|
|14|13|12|11|10|9|8|7|6|5|4|3|2|1|1|1|2|
|14|13|12|11|10|9|8|7|6|5|4|3|2|2|2|2|2|

|14|13|12|11|11|11|11|11|11|11|11|11|11|11|11|11|11|
|14|13|12|11|10|10|10|10|10|10|10|10|10|10|10|10|10|
|14|13|12|11|10|9|9|9|9|9|9|9|9|9|9|9|9|
|14|13|12|11|10|9|8|8|8|8|8|8|8|8|8|8|8|
|14|13|12|11|10|9|8|7|7|7|7|7|7|7|7|7|7|
|14|13|12|11|10|9|8|7|6|6|6|6|6|6|6|6|6|
|14|13|12|11|10|9|8|7|6|5|5|5|5|5|5|5|5|
|14|13|12|11|10|9|8|7|6|5|4|4|4|4|4|4|4|
|14|13|-1|-1|10|9|8|7|6|5|4|3|3|3|3|3|3|
|14|13|12|11|10|9|8|7|6|5|4|3|2|2|2|2|2|
|14|13|12|11|10|9|8|7|6|5|4|3|2|1|1|1|2|
|14|13|12|11|10|9|8|7|6|5|4|3|2|1|-2|1|2|
|14|13|12|11|10|9|8|7|6|5|4|3|2|1|-2|1|2|
|14|13|12|11|10|9|8|7|6|5|4|3|2|1|1|1|2|
|14|13|12|11|10|9|8|7|6|5|4|3|2|2|2|2|2|

|14|13|12|11|10|10|10|10|10|10|10|10|10|10|10|10|10|
|14|13|12|11|10|9|9|9|9|9|9|9|9|9|9|9|9|
|14|13|12|11|10|9|8|8|8|8|8|8|8|8|8|8|8|
|14|13|12|11|10|9|8|7|7|7|7|7|7|7|7|7|7|
|14|13|12|11|10|9|8|7|6|6|6|6|6|6|6|6|6|
|14|13|12|11|10|9|8|7|6|5|5|5|5|5|5|5|5|
|14|13|12|11|10|9|8|7|6|5|4|4|4|4|4|4|4|
|14|13|12|11|10|9|8|7|6|5|4|3|3|3|3|3|3|
|14|13|-1|-1|-1|9|8|7|6|5|4|3|2|2|2|2|2|
|14|13|12|11|10|9|8|7|6|5|4|3|2|1|1|1|2|
|14|13|12|11|10|9|8|7|6|5|4|3|2|1|-2|1|2|
|14|13|12|11|10|9|8|7|6|5|4|3|2|1|-2|1|2|
|14|13|12|11|10|9|8|7|6|5|4|3|2|1|-2|1|2|
|14|13|12|11|10|9|8|7|6|5|4|3|2|1|1|1|2|
|14|13|12|11|10|9|8|7|6|5|4|3|2|2|2|2|2|

|13|12|11|10|9|9|9|9|9|9|9|9|9|9|9|9|9|
